Seminar,Student_ID,Score,Rank
a,47,7.50,None
a,75,7.50,None
a,38,7.50,None
a,62,7.50,None
a,1,7.50,None
a,102,7.50,None
a,105,7.50,3rd
a,50,7.50,2nd
a,76,7.50,None
a,21,7.50,None
a,69,7.50,None
b,70,5.00,None
b,3,5.00,3rd
b,9,5.00,None
b,57,5.00,None
b,27,5.00,None
b,81,5.00,None
b,31,5.00,None
b,41,5.00,None
b,35,5.00,None
b,59,5.00,None
b,53,5.00,None
c,91,5.00,1st
c,99,5.00,None
c,16,5.00,None
c,68,5.00,None
c,71,2.00,None
c,90,5.00,None
c,65,5.00,1st
c,28,2.00,2nd
d,93,9.00,1st
d,10,9.00,None
d,84,9.00,None
d,8,9.00,None
d,45,9.00,None
d,34,9.00,None
d,48,9.00,None
d,15,3.60,1st
d,85,9.00,None
d,40,9.00,2nd
d,88,9.00,None
e,79,5.00,1st
e,108,5.00,None
e,73,5.00,None
e,101,5.00,None
e,74,5.00,3rd
e,23,5.00,2nd
e,20,5.00,None
e,39,2.00,None
f,61,5.00,1st
f,112,5.00,None
f,104,5.00,None
f,78,5.00,None
f,86,2.00,None
f,11,2.00,None
g,54,5.00,None
g,46,5.00,None
g,6,5.00,None
g,67,2.00,2nd
g,29,2.00,None
h,72,5.00,None
h,52,5.00,None
i,43,5.00,None
i,94,5.00,None
i,66,5.00,None
i,107,2.00,None
i,89,5.00,None
i,25,5.00,None
i,42,5.00,None
i,18,5.00,None
i,51,5.00,3rd
j,12,5.00,3rd
j,36,5.00,None
j,17,2.00,None
j,26,5.00,3rd
j,19,2.00,None
k,111,5.00,1st
k,55,5.00,None
k,32,5.00,None
k,24,5.00,None
l,64,5.00,None
l,110,5.00,None
l,13,5.00,None
m,63,3.50,None
m,103,1.40,None
n,98,5.00,None
n,96,5.00,None
n,80,2.00,None
n,30,2.00,None
n,7,2.00,None
n,14,2.00,2nd
o,100,2.50,None
o,56,2.50,None
o,109,1.00,None
o,22,1.00,None
p,95,5.00,None
p,44,2.00,1st
p,58,5.00,3rd
p,60,2.00,1st
p,37,2.00,None
p,92,2.00,None
q,83,6.00,None
q,106,6.00,3rd
q,4,6.00,3rd
q,87,6.00,None
q,5,6.00,None
q,2,6.00,None
q,77,6.00,None
q,97,6.00,None
q,33,6.00,None
q,82,6.00,None
q,49,6.00,None
